question,summary_answer,difficulty,intent,filename
impact of empty values on drift detection,The article notes that columns with empty values can lead to errors in drift detection and recommends running separate tests on null shares in the dataset.,intermediate,text,metrics/explainer_drift.mdx
text data drift classification,"The article explains how Evidently uses a domain classifier approach to detect drift in text data, comparing ROC AUC scores to detect significant differences.",advanced,code,metrics/explainer_drift.mdx
Recall at K metric definition,"Recall at K measures how many relevant items are present in the top K results of a recommendation system, indicating the system's ability to retrieve relevant items.",beginner,text,metrics/explainer_recsys.mdx
Calculating precision at K,"Precision at K calculates the proportion of relevant results in the top K recommended items, measuring the quality of suggestions made by the system.",beginner,code,metrics/explainer_recsys.mdx
F Beta score calculation,"The F Beta score combines precision and recall into a single metric, allowing for a balanced evaluation of a ranking system's performance depending on the value of Beta used.",intermediate,code,metrics/explainer_recsys.mdx
Mean Average Precision formula,"Mean Average Precision (MAP) assesses how well a system ranks relevant items, focusing on their positions in the top K results, and averages the precision calculated for each relevant item.",intermediate,code,metrics/explainer_recsys.mdx
Interpreting Mean Average Recall,"Mean Average Recall (MAR) provides insight into how effectively a recommendation system retrieves relevant items across different users, averaging the recall calculations.",intermediate,text,metrics/explainer_recsys.mdx
How to compute Normalized Discounted Cumulative Gain,"NDCG compares the ranking quality of recommended items against an ideal order, helping assess the effectiveness of a ranking algorithm in placing relevant items higher.",intermediate,code,metrics/explainer_recsys.mdx
Understanding Hit Rate,"Hit Rate calculates the percentage of users for whom at least one relevant item appears in the top K suggestions, showcasing overall system effectiveness.",beginner,text,metrics/explainer_recsys.mdx
Mean Reciprocal Rank explained,"Mean Reciprocal Rank (MRR) focuses on the position of the first relevant item in the recommendation list, measuring how closely relevant items appear at the top.",intermediate,text,metrics/explainer_recsys.mdx
Score Distribution entropy calculation,"Score Distribution measures the entropy of predicted scores for recommendations, helping visualize how scores are distributed among items in the top K.",advanced,code,metrics/explainer_recsys.mdx
Differences between precision and recall,"Precision and recall are critical metrics for evaluating recommendation systems, where precision measures the relevance of the suggested items and recall assesses the retrieval of all relevant items.",beginner,text,metrics/explainer_recsys.mdx
mean error and absolute error differences,"The article explains Mean Error (ME), Mean Absolute Error (MAE), and their significance in evaluating model performance.",beginner,text,metrics/explainer_regression.mdx
evidently regression metrics examples,"It provides examples of several regression metrics like MAPE, along with how to calculate and interpret them using Evidently.",beginner,code,metrics/explainer_regression.mdx
how to visualize predicted vs actual in regression,The article showcases methods to create scatter plots for visualizing predicted versus actual values to assess model accuracy.,beginner,code,metrics/explainer_regression.mdx
error distribution of regression model,It describes how to analyze the distribution of errors in regression models to understand performance stability.,intermediate,text,metrics/explainer_regression.mdx
interactivity in regression analysis with evidently,Evidently offers interactive visualizations that help in analyzing model predictions and identifying areas for improvement.,intermediate,code,metrics/explainer_regression.mdx
absolute percentage error time series,The article discusses how to visualize absolute percentage error over time to track prediction accuracy across periods.,intermediate,code,metrics/explainer_regression.mdx
explore error bias among different feature values,It emphasizes checking error bias by investigating feature distributions across groups with extreme errors.,advanced,text,metrics/explainer_regression.mdx
link between feature values and regression errors,"The article explores the relationship between feature values and model errors, suggesting how to analyze them for better predictions.",advanced,code,metrics/explainer_regression.mdx
calculating range% between overestimations and underestimations,It explains the formula and process to calculate the range percentage when evaluating the differences between over and underestimations in predictions.,advanced,code,metrics/explainer_regression.mdx
classification preset report example,The article includes Python examples for setting up a Report using the ClassificationPreset to evaluate performance on classification tasks.,beginner,code,metrics/preset_classification.mdx
metrics for classification quality,"It discusses various metrics like Accuracy, Precision, Recall, and F1-score used to evaluate classification model performance.",intermediate,text,metrics/preset_classification.mdx
customizing classification report tests,The article explains how to customize test conditions and metrics in a classification report to better evaluate model performance against specific criteria.,advanced,code,metrics/preset_classification.mdx
data drift preset overview,"The article gives a comprehensive overview of the Data Drift Preset, detailing its function in evaluating shifts in data distribution between datasets.",beginner,text,metrics/preset_data_drift.mdx
how to detect data drift,It explains how to implement the DataDriftPreset in a report to run data drift evaluations between current and reference datasets with simple code examples.,beginner,code,metrics/preset_data_drift.mdx
customize data drift report,"The article describes various customization options for the Data Drift report, including selecting specific columns, adjusting drift detection parameters, and adding other metrics like data quality checks.",intermediate,code,metrics/preset_data_drift.mdx
data drift test suite example,"It provides an example of using a test suite to add explicit pass/fail tests for each column when evaluating data drift, enhancing the analysis of current versus reference datasets.",intermediate,code,metrics/preset_data_drift.mdx
advanced drift detection methods,"The article mentions various advanced drift detection methods that can be customized, like PSI and K-L divergence, allowing for tailored evaluations of data drift.",advanced,text,metrics/preset_data_drift.mdx
Data Summary Preset examples,The article provides code examples for using the Data Summary Preset to generate reports and visualize dataset statistics.,beginner,code,metrics/preset_data_summary.mdx
how to compare datasets with Data Summary,You can use the Data Summary Preset to compare two datasets side-by-side by passing both to the report run method.,intermediate,code,metrics/preset_data_summary.mdx
data quality tests in Data Summary,"The Data Summary Preset enables auto-generated data quality tests based on either a reference dataset or heuristics, helping to ensure data integrity.",intermediate,text,metrics/preset_data_summary.mdx
basic recommender system setup,The article explains how to set up a basic recommender system using the Report and RecSysPreset classes in the Evidently API to generate top-k recommendations.,beginner,code,metrics/preset_recsys.mdx
metrics evaluation for recsys,"It discusses the various metrics available in RecsysPreset for evaluating recommendation quality, including metrics like NDCG at K and diversity score.",intermediate,text,metrics/preset_recsys.mdx
customizing report conditions in recsys,The article outlines methods for modifying test conditions and report composition to enhance performance evaluations in recommender systems.,advanced,code,metrics/preset_recsys.mdx
using RegressionPreset in Python example,The article explains how to create a report using the `RegressionPreset` in Python to evaluate model performance on a dataset.,beginner,code,metrics/preset_regression.mdx
understanding regression quality metrics,"It discusses various regression quality metrics like MAE, RMSE, and how they are used to assess model performance within the report.",intermediate,text,metrics/preset_regression.mdx
compare regression model outputs,The article outlines how to use the `RegressionPreset` to compare performance across different datasets or reference models as part of the evaluation process.,advanced,code,metrics/preset_regression.mdx
running Text Evals report example,"The article provides a code example for running a Text Evals report using the `Report` class in Python, detailing how to evaluate a current dataset.",beginner,code,metrics/preset_text_evals.mdx
data requirements for Text Evals,The article highlights that the Text Evals Preset requires an input dataset with computed descriptors and allows for the comparison of one or two datasets.,intermediate,text,metrics/preset_text_evals.mdx
customizing Text Evals report,"Customization options for the Text Evals report are discussed, including selecting specific descriptors and modifying test conditions to refine the evaluation process.",advanced,code,metrics/preset_text_evals.mdx
evidently lllm evaluation setup,"The article explains how to set up your environment for LLM evaluation using Evidently, including installation instructions and necessary imports.",beginner,code,quickstart_llm.mdx
how to create a report in evidently,"It details the steps to create and run a report summarizing evaluation results in Evidently, including examples of generating reports in JSON or HTML formats.",intermediate,code,quickstart_llm.mdx
define dataset for llm evaluation,"The article describes how to prepare a dataset for LLM evaluation, including examples of input and output structures that are compatible with Evidently.",beginner,code,quickstart_llm.mdx
install evidently library,"Instructions are provided for installing the Evidently library in Python, including usage of pip for installation.",beginner,code,quickstart_llm.mdx
understand llm evaluation descriptors,"It offers insights into the various descriptors used in LLM evaluations, such as Sentiment and TextLength, explaining their purposes and how to implement them.",intermediate,text,quickstart_llm.mdx
using openai key in evidently,The article outlines how to set an OpenAI API key as an environment variable to facilitate evaluations using OpenAI models in Evidently.,intermediate,code,quickstart_llm.mdx
steps to analyze llm output,"It walks through the entire process of analyzing LLM outputs, emphasizing the use of various checks and evaluations to ensure quality responses.",beginner,text,quickstart_llm.mdx
custom llm judges implementation,Instructions are provided on how to implement custom LLM judges using built-in templates in Evidently for specific evaluation criteria.,advanced,code,quickstart_llm.mdx
create dashboard for llm evaluations,"The article explains how to create a dashboard in Evidently to track evaluation results over time, customizing panels for better data visualization.",intermediate,code,quickstart_llm.mdx
data drift evaluation Python example,"The article details how to evaluate data drift in Python using Evidently, including setting up datasets and generating reports.",beginner,code,quickstart_ml.mdx
how to install evidently library,"Instructions for installing the Evidently library in Python are provided, including the command to use.",beginner,code,quickstart_ml.mdx
what is data drift in ML,"Data drift refers to changes in the data distribution over time, impacting model performance; the article explains its significance in ML evaluations.",intermediate,text,quickstart_ml.mdx
create project in evidently,"The article guides users on creating a project in Evidently, including the necessary setup steps and code examples.",beginner,code,quickstart_ml.mdx
generate ML reports in Python,"You can generate ML reports in Python using the Evidently library, and the article outlines the process for running evaluations and viewing results.",intermediate,code,quickstart_ml.mdx
Evidently dashboard configuration,The article includes instructions on how to configure dashboards in Evidently for tracking evaluation results over time.,advanced,code,quickstart_ml.mdx
setup tracing LLM app,"The article outlines the steps to set up tracing for an LLM application, including installing necessary libraries and configuring the tracking environment.",beginner,code,quickstart_tracing.mdx
Evidently Cloud integration with tracing,It explains how to integrate Evidently Cloud for viewing and evaluating LLM traces effectively within the application setup.,intermediate,text,quickstart_tracing.mdx
install tracely and evidently in Python,"The article provides installation commands for the necessary libraries, specifically tracely and evidently, for Python users setting up LLM tracing.",beginner,code,quickstart_tracing.mdx
evaluate LLM responses using evidently,"Instructions for evaluating LLM responses are given, including how to add descriptors and generate reports using the collected trace data.",intermediate,code,quickstart_tracing.mdx
tracing edge cases implementation,"For advanced users, the article covers how to capture edge cases during tracing and provides implementation details for specific monitoring needs.",advanced,code,quickstart_tracing.mdx
adversarial testing examples,"The article provides insights on creating adversarial test datasets to expose AI model vulnerabilities, listing several predefined scenarios for testing, such as harmful content and forbidden topics.",beginner,code,synthetic-data/adversarial_data.mdx
how to configure adversarial dataset,"Instructions are included for configuring your own adversarial dataset in the Evidently UI, including selecting test scenarios and customizing input generation.",intermediate,code,synthetic-data/adversarial_data.mdx
generate test inputs for AI system,"The article details how to create synthetic input test cases in the Evidently platform by defining scenarios and generating relevant questions, expanding test coverage for AI systems.",beginner,code,synthetic-data/input_data.mdx
generate synthetic test data example,"The article explains how to generate synthetic test inputs and outputs using Evidently Cloud to evaluate AI systems, providing practical examples and use cases for this process.",beginner,code,synthetic-data/introduction.mdx
generate test dataset for RAG system,"The article outlines steps to create a synthetic test dataset for RAG systems, guiding users through project creation, uploading knowledge bases, and refining generated test cases.",beginner,code,synthetic-data/rag_data.mdx
when to use synthetic data for AI evaluations,"Synthetic data is essential when real data is unavailable or insufficient, particularly for testing edge cases, adversarial inputs, and during the initial phases of AI development.",beginner,text,synthetic-data/why_synthetic.mdx
examples of generating synthetic data for tests,The article discusses how to create synthetic test datasets to enhance evaluations by quickly generating structured cases and filling gaps in data scenarios.,intermediate,code,synthetic-data/why_synthetic.mdx
